skill_id,name,domain,phase,priority_score,current_risk,target_risk,category,effort_hours,strategy,status,assigned_to,path
devex_webhook_tester,Webhook Testing Assistant,devex,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/devex/webhook_tester
devex_migration_assistant,API Migration Assistant,devex,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/devex/migration_assistant
devex_error_explainer,Error Explainer,devex,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/devex/error_explainer
devex_sandbox_manager,Developer Sandbox Manager,devex,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/devex/sandbox_manager
devex_api_onboarding,API Quick Start Generator,devex,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/devex/api_onboarding
support_proactive_outreach,Proactive Support Outreach,support_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/support_ops/support_proactive_outreach
support_sla_monitor,SLA Monitor,support_ops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/support_ops/support_sla_monitor
support_macros_optimizer,Macros Optimizer,support_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/support_ops/support_macros_optimizer
support_sentiment_tracker,Ticket Sentiment Tracker,support_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/support_ops/support_sentiment_tracker
support_ticket_triage,Ticket Triage Intelligence,support_ops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/support_ops/support_ticket_triage
support_escalation_predictor,Escalation Predictor,support_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/support_ops/support_escalation_predictor
finops_burn_rate_monitor,Burn Rate Monitor,finops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/finops/burn_rate_monitor
finops_scenario_planner,Financial Scenario Planner,finops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/finops/scenario_planner
finops_benchmark_comparator,Benchmark Comparator,finops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/finops/benchmark_comparator
finops_gross_margin,Gross Margin Analyzer,finops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/finops/gross_margin
finops_investor_metrics,Investor Metrics Dashboard,finops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/finops/investor_metrics
finops_expense_allocator,Expense Allocation Engine,finops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/finops/expense_allocator
security/semgrep-rule-creator,semgrep-rule-creator,security,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/security/semgrep-rule-creator
security/constant-time-analysis,constant-time-analysis,security,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/security/constant-time-analysis
security/property-based-testing,property-based-testing,security,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/security/property-based-testing
security/differential-review,differential-review,security,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/security/differential-review
security/insecure-defaults,insecure-defaults,security,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/security/insecure-defaults
security/firebase-apk-scanner,firebase-apk-scanner,security,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/security/firebase-apk-scanner
security/fix-review,fix-review,security,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/security/fix-review
security/spec-to-code-compliance,spec-to-code-compliance,security,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/security/spec-to-code-compliance
security/sharp-edges,sharp-edges,security,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/security/sharp-edges
security/modern-python,modern-python,security,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/security/modern-python
skene_analyze_tech_stack,Tech Stack Analyzer,skene,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/skene/skene_analyze_tech_stack
skene_analyze_growth_hubs,Growth Hubs Analyzer,skene,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/skene/skene_analyze_growth_hubs
skene_analyze_features,Feature Documenter,skene,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/skene/skene_analyze_features
skene_generate_growth_manifest,Growth Manifest Generator,skene,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/skene/skene_generate_growth_manifest
skene_generate_growth_template,Growth Template Generator,skene,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/skene/skene_generate_growth_template
development/playwright,playwright,development,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/development/playwright
development/code-review-checklist,Code Review Checklist,development,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/development/code-review-checklist
development/d3js,d3js,development,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/development/d3js
meta_revenue_intelligence,Revenue Intelligence Hub,meta,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/meta/meta_revenue_intelligence
meta_growth_diagnostician,Growth Diagnostician,meta,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/meta/meta_growth_diagnostician
meta_customer_360,Customer 360 Aggregator,meta,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/meta/meta_customer_360
compliance_pii_detector,PII Detection Scanner,compliance,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/compliance/compliance_pii_detector
compliance_soc2_tracker,SOC 2 Compliance Tracker,compliance,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/compliance/compliance_soc2_tracker
compliance_gdpr_manager,GDPR Compliance Manager,compliance,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/compliance/compliance_gdpr_manager
compliance_privacy_policy,Privacy Policy Generator,compliance,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/compliance/compliance_privacy_policy
compliance_data_retention,Data Retention Manager,compliance,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/compliance/compliance_data_retention
compliance_audit_preparer,Audit Preparation Assistant,compliance,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/compliance/compliance_audit_preparer
compliance_breach_response,Breach Response Coordinator,compliance,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/compliance/compliance_breach_response
compliance_access_reviewer,Access Review Orchestrator,compliance,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/compliance/compliance_access_reviewer
compliance_vendor_risk,Vendor Risk Assessor,compliance,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/compliance/compliance_vendor_risk
cursor_rules/aws-ecs,aws-ecs,cursor_rules,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/cursor_rules/aws-ecs
cursor_rules/stripe,stripe,cursor_rules,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/cursor_rules/stripe
plg_habit_loop_builder,Habit Loop Builder,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/habit_loop_builder
plg_empty_state_optimizer,Empty State Optimizer,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/empty_state_optimizer
plg_onboarding_flow,Onboarding Flow Orchestrator,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/onboarding_flow
plg_sandbox_environment,Sandbox Environment Provisioner,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/sandbox_environment
plg_viral_loop,Viral Loop Orchestrator,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/viral_loop
plg_guided_setup_wizard,Guided Setup Wizard,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/guided_setup_wizard
plg_activation,User Activation,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/activation
plg_aha_moment_detection,Aha Moment Detection,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/aha_moment_detection
plg_friction_detector,Friction Point Detector,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/friction_detector
plg_interactive_tour,Interactive Tour Architect,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/interactive_tour
plg_reverse_trial,Reverse Trial Orchestrator,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/reverse_trial
plg_personalized_checklist,Personalized Checklist Builder,plg,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/plg/personalized_checklist
data_anomaly_alerter,Metric Anomaly Alerter,data_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/data_ops/data_anomaly_alerter
data_event_validator,Event Schema Validator,data_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/data_ops/data_event_validator
data_dashboard_builder,Dashboard Builder,data_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/data_ops/data_dashboard_builder
data_etl_monitor,ETL Pipeline Monitor,data_ops,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/data_ops/data_etl_monitor
data_privacy_scanner,Analytics Privacy Scanner,data_ops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/data_ops/data_privacy_scanner
data_warehouse_optimizer,Query Optimizer,data_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/data_ops/data_warehouse_optimizer
data_funnel_optimizer,Funnel Optimization Engine,data_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/data_ops/data_funnel_optimizer
marketing_meeting_insights_analyzer,meeting-insights-analyzer,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/research/meeting_insights_analyzer
marketing_tailored_resume_generator,tailored-resume-generator,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/tools/tailored_resume_generator
marketing_self_improvement_analyzer,self-improvement-analyzer,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/tools/self_improvement_analyzer
marketing_connect,connect,marketing,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/marketing/tools/connect
marketing_interface_design,interface-design,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/brand/interface_design
marketing_humanization_engine,humanization-engine,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/brand/humanization_engine
marketing_skene_voice_guardian,skene-voice-guardian,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/brand/skene_voice_guardian
marketing_copywriting,copywriting,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/content/copywriting
marketing_copy_editing,copy-editing,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/content/copy_editing
marketing_social_content_generator,social-content-generator,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/content/social_content_generator
marketing_email_sequence,email-sequence,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/content/email_sequence
marketing_daily_report_summarizer,daily-report-summarizer,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/operations/daily_report_summarizer
marketing_langsmith_fetch,langsmith-fetch,marketing,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/marketing/operations/langsmith_fetch
marketing_invoice_organizer,invoice-organizer,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/operations/invoice_organizer
marketing_file_organizer,file-organizer,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/operations/file_organizer
marketing_signup_flow_cro,signup-flow-cro,marketing,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/marketing/cro/signup_flow_cro
marketing_paywall_upgrade_cro,paywall-upgrade-cro,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/cro/paywall_upgrade_cro
marketing_page_cro,page-cro,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/cro/page_cro
marketing_form_cro,form-cro,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/cro/form_cro
marketing_onboarding_cro,onboarding-cro,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/cro/onboarding_cro
marketing_programmatic_seo,programmatic-seo,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/seo/programmatic_seo
marketing_seo_audit,seo-audit,marketing,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/marketing/seo/seo_audit
marketing_outreach_personalizer,outreach-personalizer,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/outreach/outreach_personalizer
marketing_twitter_algorithm_optimizer,twitter-algorithm-optimizer,marketing,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/marketing/outreach/twitter_algorithm_optimizer
marketing_analytics_tracking,analytics-tracking,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/analytics/analytics_tracking
marketing_developer_growth_analysis,developer-growth-analysis,marketing,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/marketing/analytics/developer_growth_analysis
marketing_plg_score_explainer,plg-score-explainer,marketing,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/marketing/analytics/plg_score_explainer
marketing_marketing_psychology,marketing-psychology,marketing,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/marketing/strategy/marketing_psychology
marketing_marketing_ideas,marketing-ideas,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/strategy/marketing_ideas
marketing_referral_program,referral-program,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/strategy/referral_program
marketing_free_tool_strategy,free-tool-strategy,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/strategy/free_tool_strategy
marketing_pricing_strategy,pricing-strategy,marketing,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/marketing/strategy/pricing_strategy
people_dei_tracker,DEI Metrics Tracker,people_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/people_ops/people_dei_tracker
people_offboarding_manager,Offboarding Manager,people_ops,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/people_ops/people_offboarding_manager
people_candidate_sourcer,Candidate Sourcing Assistant,people_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/people_ops/people_candidate_sourcer
people_onboarding_checklist,Employee Onboarding Orchestrator,people_ops,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/people_ops/people_onboarding_checklist
people_pulse_analyzer,Employee Pulse Analyzer,people_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/people_ops/people_pulse_analyzer
anthropic_official/doc-coauthoring,doc-coauthoring,anthropic_official,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/anthropic_official/doc-coauthoring
anthropic_official/xlsx,xlsx,anthropic_official,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/anthropic_official/xlsx
anthropic_official/pdf,pdf,anthropic_official,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/anthropic_official/pdf
anthropic_official/algorithmic-art,algorithmic-art,anthropic_official,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/anthropic_official/algorithmic-art
anthropic_official/skill-creator,skill-creator,anthropic_official,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/anthropic_official/skill-creator
anthropic_official/pptx,pptx,anthropic_official,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/anthropic_official/pptx
anthropic_official/slack-gif-creator,slack-gif-creator,anthropic_official,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/anthropic_official/slack-gif-creator
cs_health_scoring,Customer Health Scoring,customer_success,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/customer_success/health_scoring
cs_adoption_score,Adoption Score Calculator,customer_success,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/customer_success/adoption_score
cs_contract_intelligence,Contract Intelligence,customer_success,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/customer_success/contract_intelligence
cs_quarterly_business_review,QBR Deck Generator,customer_success,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/customer_success/quarterly_business_review
cs_playbook_selector,Playbook Selector,customer_success,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/customer_success/playbook_selector
cs_churn_prediction,Churn Prediction,customer_success,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/customer_success/churn_prediction
cs_red_flag_detector,Red Flag Detector,customer_success,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/customer_success/red_flag_detector
cs_stakeholder_mapper,Stakeholder Relationship Mapper,customer_success,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/customer_success/stakeholder_mapper
cs_risk_mitigation_playbook,Risk Mitigation Playbook,customer_success,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/customer_success/risk_mitigation_playbook
cs_customer_journey_orchestrator,Journey Orchestrator,customer_success,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/customer_success/customer_journey_orchestrator
cs_vla_tracker,Value-Level Agreement Manager,customer_success,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/customer_success/vla_tracker
community_event_manager,Community Event Manager,community,Phase 1,130,Critical,Medium,credential_elimination,5,"Implement OAuth delegation, remove credential handling",Not Started,,skills-library/community/community_event_manager
community_ama_orchestrator,AMA Session Orchestrator,community,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/community/community_ama_orchestrator
community_user_group_manager,User Group Manager,community,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/community/community_user_group_manager
community_forum_moderator,Forum Moderation Assistant,community,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/community/community_forum_moderator
community_champion_identifier,Champion Identifier,community,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/community/community_champion_identifier
ai_document_parser,Document Intelligence Parser,ai_ops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/ai_ops/ai_document_parser
ai_ops/prompt-engineering,Prompt Engineering,ai_ops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/ai_ops/prompt-engineering
ai_anomaly_detector,Behavioral Anomaly Detector,ai_ops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/ai_ops/ai_anomaly_detector
ai_meeting_intelligence,Meeting Intelligence Agent,ai_ops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/ai_ops/ai_meeting_intelligence
ai_ticket_classifier,Support Ticket Classifier,ai_ops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/ai_ops/ai_ticket_classifier
revops_activity_capture,Activity Capture Intelligence,revops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/revops/activity_capture
revops_cpq_quote_generator,CPQ Quote Architect,revops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/revops/cpq_quote_generator
revops_pricing_guidance,Pricing Guidance Engine,revops,Phase 1,130,Critical,High,payment_hardening,5,"Add two-phase commit, preview mode, per-transaction approval",Not Started,,skills-library/revops/pricing_guidance
revops_deal_velocity,Deal Velocity Optimizer,revops,Phase 1,130,Critical,High,destructive_operations,5,"Replace with soft delete, add undelete capability",Not Started,,skills-library/revops/deal_velocity
